Layer                                                                                                          Dtype                 Size (MB) Shape                         
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
first_stage_model.decoder.conv_in.bias                                                                         torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.conv_in.weight                                                                       torch.float16             0.141 torch.Size([512, 16, 3, 3])   
first_stage_model.decoder.conv_out.bias                                                                        torch.float16             0.000 torch.Size([3])               
first_stage_model.decoder.conv_out.weight                                                                      torch.float16             0.007 torch.Size([3, 128, 3, 3])    
first_stage_model.decoder.mid.attn_1.k.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.k.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.decoder.mid.attn_1.norm.bias                                                                 torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.norm.weight                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.proj_out.bias                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.proj_out.weight                                                           torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.decoder.mid.attn_1.q.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.q.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.decoder.mid.attn_1.v.bias                                                                    torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.attn_1.v.weight                                                                  torch.float16             0.500 torch.Size([512, 512, 1, 1])  
first_stage_model.decoder.mid.block_1.conv1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_1.conv1.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.mid.block_1.conv2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_1.conv2.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.mid.block_1.norm1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_1.norm1.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_1.norm2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_1.norm2.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.conv1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.conv1.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.mid.block_2.conv2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.conv2.weight                                                             torch.float16             4.500 torch.Size([512, 512, 3, 3])  
first_stage_model.decoder.mid.block_2.norm1.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.norm1.weight                                                             torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.norm2.bias                                                               torch.float16             0.001 torch.Size([512])             
first_stage_model.decoder.mid.block_2.norm2.weight                                                             torch.float16             0.001 torch.Size([512])             
